id,age,gender,math,science,english,sports,music,Total Marks,Percentage,GradeClass,StudyHours
983,20,male,61,82,109,No,Yes,252,84,B,12
984,18,female,83,76,53,Yes,Yes,212,70.66666667,C,15
985,19,male,84,49,71,No,Yes,204,68,D,13
986,19,male,78,59,41,Yes,No,178,59.33333333,E,9
987,21,female,81,70,,Yes,Yes,151,50.33333333,E,7
988,20,female,78,73,61,No,No,212,70.66666667,C,9
989,19,female,60,56,,No,Yes,116,38.66666667,F,9
990,18,male,76,106,58,Yes,No,240,80,B,9
991,18,female,82,93,46,Yes,No,221,73.66666667,C,7
992,19,female,81,80,62,Yes,Yes,223,74.33333333,C,15
993,20,male,88,73,42,Yes,No,203,67.66666667,D,14
994,18,female,81,69,78,Yes,No,228,76,C,8
995,21,female,75,59,41,Yes,No,175,58.33333333,E,13
996,18,female,86,73,68,No,No,227,75.66666667,C,14
997,17,female,70,76,41,No,Yes,187,62.33333333,D,13
998,17,male,57,55,64,No,Yes,176,58.66666667,E,6
999,20,female,68,77,89,Yes,Yes,234,78,C,12
1000,19,female,59,70,73,No,No,202,67.33333333,D,12
